7,165,132,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,12,1,1,1,2,1,1,1,1,3,3,1,1
,,,ie_clare_w_2006_early_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_kerry_w_2005_early_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_clare_w_2007_early_viburnum_shrub_eu1_nursery_EU1MG131_ieni,ie_galway_w_2006_early_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_clare_w_2021_late_larix_contree_eu1_forest_eu1mg106_eu,ie_galway_w_2006_early_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2008_early_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_cork_w_2010_late_larix_contree_eu1_forest_eu1mg5_eubr,ie_galway_w_2006_early_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_cork_w_2010_late_rhod_shrub_eu1_forest_eu1mg5_eubr,ie_laois_se_2007_early_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2011_late_larix_contree_eu1_forest_eu1mg2_eu,ie_westmeath_ne_2007_early_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2012_late_rhod_shrub_eu1_forest_eu1mg13_eubr,ie_louth_ne_2007_early_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2013_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_kildare_ne_2008_early_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2013_late_rhod_shrub_eu1_forest_eu1mg87_eu,ie_kildare_ne_2009_early_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2013_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2014_late_gaultheria_shrub_eu1_forest_eu1mg1_eubr,ie_tipperary_w_2009_early_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_cork_w_2014_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_wicklow_se_2010_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2014_late_larix_contree_eu1_forest_EU1MG125_ieni,ie_waterford_se_2010_late_picea_contree_eu1_forest_eu1mg1_eubr,ie_cork_w_2014_late_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_tipperary_w_2010_late_fagus_brotree_eu1_forest_eu1mg1_eubr,ie_cork_w_2014_late_rhod_shrub_eu1_nursery_EU1MG132_ieni,ie_kildare_ne_2010_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2015_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_tipperary_w_2010_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_unknown_ne_2010_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2015_late_viburnum_shrub_eu1_nursery_eu1mg32_brunique,ie_kerry_w_2011_late_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_cork_w_2018_late_rhod_shrub_eu1_nursery_eu1mg32_brunique,ie_tipperary_w_2011_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_cork_w_2018_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2019_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_wicklow_se_2012_late_soil_envi_eu1_forest_eu1mg1_eubr,ie_cork_w_2020_late_rhod_shrub_eu1_forest_EU1MG124_ieni,ie_kildare_ne_2012_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_cork_w_2021_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_wicklow_se_2012_late_water_envi_eu1_forest_eu1mg1_eubr,ie_cork_w_2021_late_rhod_shrub_eu2_other_eu2mg1_ieni,ie_tipperary_w_2012_late_fagus_brotree_eu1_forest_eu1mg1_eubr,ie_cork_w_2021_late_rhod_shrub_eu2_other_eu2mg4_ieni,ie_wicklow_se_2012_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_cork_w_2022_late_larix_contree_eu2_forest_eu2mg1_ieni,ni_armagh_ni_2012_late_abies_contree_eu1_forest_eu1mg1_eubr,ie_dublin_ne_2012_late_pieris_shrub_eu1_nursery_EU1MG129_ieni,ie_westmeath_ne_2012_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_kerry_w_2013_late_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_galway_w_2014_late_rhod_shrub_eu1_nursery_eu1mg26_eubr,ie_kerry_w_2013_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_galway_w_2015_late_camellia_shrub_eu1_nursery_eu1mg19_eubr,ie_galway_w_2018_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_galway_w_2019_late_rhod_shrub_eu1_forest_EU1MG127_ieni,ie_wicklow_se_2014_late_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_kerry_w_2014_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_waterford_w_2005_early_rhod_shrub_eu1_nursery_eu1mg32_brunique,ie_wicklow_se_2014_late_water_envi_eu1_forest_eu1mg1_eubr,ie_kerry_w_2006_early_rhod_shrub_eu1_forest_eu1mg26_eubr,ie_kerry_w_2009_early_rhod_shrub_eu1_forest_eu1mg26_eubr,ie_kerry_w_2012_late_rhod_shrub_eu1_forest_EU1MG128_ieni,ie_kerry_w_2014_late_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_wexford_se_2014_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_wicklow_se_2014_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_kerry_w_2014_late_rhod_shrub_eu1_forest_eu1mg18_eubr,ie_waterford_se_2014_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_kerry_w_2015_late_camellia_shrub_eu1_nursery_eu1mg1_eubr,ie_wexford_se_2014_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_kerry_w_2015_late_rhod_shrub_eu1_nursery_eu1mg18_eubr,ie_wicklow_se_2014_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_kerry_w_2015_late_rhod_shrub_eu1_nursery_eu1mg5_eubr,ie_wicklow_se_2015_late_water_envi_eu1_forest_eu1mg1_eubr,ie_kerry_w_2020_late_rhod_shrub_eu1_other_eu1mg5_eubr,ie_wicklow_se_2015_late_fagus_brotree_eu1_forest_eu1mg1_eubr,ie_waterford_se_2015_late_water_envi_eu1_forest_eu1mg1_eubr,ie_tipperary_w_2015_late_water_envi_eu1_forest_eu1mg1_eubr,ie_tipperary_w_2015_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_tipperary_w_2015_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_kilkenny_se_2010_late_camellia_shrub_eu1_nursery_eu1mg19_eubr,ie_kilkenny_se_2010_late_fagus_brotree_eu1_forest_eu1mg32_brunique,ie_kilkenny_se_2010_late_viburnum_shrub_eu1_nursery_eu1mg19_eubr,ie_wexford_se_2015_late_rhod_shrub_eu1_other_eu1mg1_eubr,ie_kilkenny_se_2013_late_larix_contree_eu1_forest_eu1mg6_eubr,ie_wicklow_se_2016_late_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_limerick_w_2015_late_rhod_shrub_eu1_nursery_eu1mg5_eubr,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_louth_ne_2018_late_larix_contree_eu2_forest_eu2mg3_ieni,ie_westmeath_ne_2018_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,ie_louth_ne_2021_late_water_envi_eu2_forest_eu2mg3_ieni,ie_tipperary_w_2019_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,ie_louth_ne_2021_late_unknown_envi_eu2_forest_eu2mg3_ieni,ie_mayo_w_2021_late_rhod_shrub_eu1_forest_eu1mg1_eubr,ie_wicklow_se_2021_late_larix_contree_eu1_forest_eu1mg1_eubr,ie_tipperary_unknown_2022_late_camellia_shrub_eu1_nursery_eu1mg1_eubr,ie_tipperary_w_2006_early_rhod_shrub_eu1_forest_EU1MG130_ieni,ni_unknown_ni_2022_late_rhod_shrub_eu1_other_eu1mg1_eubr,ni_unknown_ni_2022_late_viburnum_shrub_eu1_other_eu1mg1_eubr,ni_down_ni_2022_late_rhod_shrub_eu1_other_eu1mg1_eubr,ie_westmeath_ne_2011_late_rhod_shrub_eu1_nursery_eu1mg107_eubr,ie_tipperary_w_2014_late_larix_contree_eu1_forest_eu1mg18_eubr,ni_down_ni_2022_late_pieris_shrub_eu1_other_EU1MG126_ieni,ie_tipperary_w_2018_late_camellia_shrub_eu1_nursery_eu1mg7_eubr,ie_kerry_unknown_2007_early_rhod_shrub_eu1_forest_eu1mg13_eubr,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_EU1MG134_ieni,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_eu1mg18_eubr,ie_wicklow_se_2011_late_fagus_brotree_eu1_forest_EU1MG133_ieni,ie_waterford_se_2014_late_rhod_shrub_eu1_nursery_EU1MG135_ieni,ni_down_ni_2022_late_rhod_shrub_eu1_other_eu1mg14_eu,ie_waterford_se_2017_late_rhod_shrub_eu1_nursery_eu1mg32_brunique,ie_wicklow_se_2012_late_rhod_shrub_eu1_nursery_eu1mg22_eubr,ie_wicklow_se_2010_late_pieris_shrub_eu1_nursery_eu1mg88_eu,ni_antrim_ni_2012_late_larix_contree_eu1_forest_eu1mg43_brunique,ni_antrim_ni_2010_late_larix_contree_eu2_forest_eu2mg1_ieni,ni_down_ni_2011_late_larix_contree_eu2_forest_eu2mg1_ieni,ni_down_ni_2012_late_rhod_shrub_eu2_forest_eu2mg1_ieni,ni_antrim_ni_2012_late_larix_contree_eu2_forest_eu2mg1_ieni,ni_antrim_ni_2012_late_viburnum_shrub_eu2_forest_eu2mg1_ieni,ni_antrim_ni_2022_late_larix_contree_eu2_forest_eu2mg5_ieni,ni_antrim_ni_2022_late_larix_contree_eu2_forest_eu2mg6_ieni,ni_down_ni_2022_late_larix_contree_eu2_forest_eu2mg2_ieni,ni_londonderry_ni_2022_late_larix_contree_eu2_forest_eu2mg2_ieni,ni_down_ni_2022_late_larix_contree_eu2_forest_eu2mg3_ieni,ni_down_ni_2022_late_larix_contree_eu2_forest_eu2mg5_ieni,sc_unknown_unknown_2010_late_nothofagus_brotree_eu1_forest_eu1mg1_eubr,sc_unknown_unknown_2011_late_larix_contree_eu1_forest_eu1mg1_eubr,sc_unknown_unknown_2011_late_larix_contree_eu2_forest_eu2mg1_ienisc,sc_unknown_unknown_2011_late_rhod_shrub_eu1_forest_EU1MG136_,sc_unknown_unknown_2011_late_rhod_shrub_eu1_forest_eu1mg43_brunique
Id,country_county_dir_year_yrgroup_host_hosttype_lin_source_mlg_region,KI18,,KI64,,KI82a,,KI82b,,PrMS43,,ILVOPrMS145a,,ILVOPrMS145c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10X_4,sc_unknown_unknown_2010_late_nothofagus_brotree_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11X_10,sc_unknown_unknown_2011_late_larix_contree_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11X_11,sc_unknown_unknown_2011_late_larix_contree_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11X_12,sc_unknown_unknown_2011_late_rhod_shrub_eu1_forest_eu1mg43_brunique,221,265,355,402,132,143,115,237,137,137,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11X_13,sc_unknown_unknown_2011_late_rhod_shrub_eu1_forest_EU1MG136_,221,265,355,402,132,138,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11X_14,sc_unknown_unknown_2011_late_larix_contree_eu2_forest_eu2mg1_ienisc,221,227,351,351,109,111,105,115,0,0,178,203,188,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11X_15,sc_unknown_unknown_2011_late_larix_contree_eu2_forest_eu2mg1_ienisc,221,227,351,351,109,111,105,115,0,0,178,203,188,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11X_16,sc_unknown_unknown_2011_late_larix_contree_eu2_forest_eu2mg1_ienisc,221,227,351,351,109,111,105,115,0,0,178,203,188,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11X_17,sc_unknown_unknown_2011_late_larix_contree_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_135,ie_cork_w_2018_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_161,ie_galway_w_2018_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_200,ie_tipperary_w_2018_late_camellia_shrub_eu1_nursery_eu1mg7_eubr,221,265,355,402,132,143,115,245,149,149,172,203,188,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_237,ie_cork_w_2018_late_rhod_shrub_eu1_nursery_eu1mg32_brunique,221,265,355,402,132,143,115,237,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_440,ie_louth_ne_2018_late_larix_contree_eu2_forest_eu2mg3_ieni,221,227,351,351,109,111,105,115,0,0,178,209,188,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_441,ie_louth_ne_2018_late_larix_contree_eu2_forest_eu2mg3_ieni,221,227,351,351,109,111,105,115,0,0,178,209,188,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_507,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_EU1MG134_ieni,221,265,355,402,132,143,115,185,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_669,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_670,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_685,ie_tipperary_w_2018_late_rhod_shrub_eu1_forest_eu1mg18_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18_85,ie_westmeath_ne_2018_late_viburnum_shrub_eu1_nursery_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_116,ie_tipperary_w_2019_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_192,ie_cork_w_2019_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19_805,ie_galway_w_2019_late_rhod_shrub_eu1_forest_EU1MG127_ieni,221,265,361,402,132,143,115,243,149,149,172,203,188,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_530,ie_cork_w_2020_late_rhod_shrub_eu1_forest_EU1MG124_ieni,265,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20_532,ie_kerry_w_2020_late_rhod_shrub_eu1_other_eu1mg5_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_243,ie_cork_w_2021_late_rhod_shrub_eu2_other_eu2mg1_ieni,221,227,351,351,109,111,105,115,0,0,178,203,188,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_422,ie_cork_w_2021_late_rhod_shrub_eu1_nursery_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_534,ie_clare_w_2021_late_larix_contree_eu1_forest_eu1mg106_eu,221,265,355,402,132,143,115,179,149,149,172,203,188,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_609,ie_louth_ne_2021_late_water_envi_eu2_forest_eu2mg3_ieni,221,227,351,351,109,111,105,115,0,0,178,209,188,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_703,ie_louth_ne_2021_late_unknown_envi_eu2_forest_eu2mg3_ieni,221,227,351,351,109,111,105,115,0,0,178,209,188,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21_759,ie_mayo_w_2021_late_rhod_shrub_eu1_forest_eu1mg1_eubr,221,265,355,402,132,143,115,243,149,149,172,203,188,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
